from,collection,total_lost
\x488d3819cea6020ae2d9c019bd8d539f68974d40,Nanopass,4
\x48e4cf667a70652fa974078f95d00b0b3cf016d5,Arcade Land,4
\xd022cc8ce28955b4a273c3172e8519a242e63469,MonkeyBet,4
\x26f6437ecb7adc41ad78bcb683901647fb219318,Feline Fiendz NFT,4
\xd07daa79caf36e68625d1ee471ec4860668faaa5,IO: Imaginary Ones,4
\x0ed510492b0580417fe0712eb090795089721950,Quirklings,4
\x964fd5383dfdbfbd54224de9f773e5ac7bdb0086,Otherdeed for Otherside,4
\x37eb15d96bf71bca4a7c0f8668ad5d2c176e8c4d,Ethereum Name Service (ENS),4
\x964fd5383dfdbfbd54224de9f773e5ac7bdb0086,VeeFriends Series 2,4
\xd49a41e75aab3b626b94a479ff350e5f216c8950,Party Bears,4
\xd49a41e75aab3b626b94a479ff350e5f216c8950,The Seekers,4
\x6918e6b06301c8498e712e3dd172f95af67a4652,Lil Heroes,4
\x97ee8829546b083b21eb47b10a9c8d440361693b,Ethereum Name Service (ENS),4
\x694ee79d003cc2600f1e0682a91ab6cbca21df99,FameLadySquad,4
\x382bc37eee276f436888f1fb7918f10ac29f7d47,Ethereum Name Service (ENS),4
\xd776a7306ee6a060cebb46b46d305e88fd39ba84,NotOkayBears,4
\xd7c879147f888fa4094428293ae85b4a711347f6,goblintown.wtf,4
\x074df02d5ba34ec03e4167f8dab7fe6c3a18de63,CakedApes,4
\xda7affc27ae1b2cd638e590aedc6464e4c8faac8,Everai Heroes: Duo,4
\x01c33310d6d2cbef59ad2d620aaab1064427f4e6,VeeFriends Series 2,4
\xdc52ff28fda77c9cea31c8206685fcd6553b8b35,Alpha Girl Club,4
\x4d8106e28243662b253fb2a775ff927563bd1e66,Bulls & Apes Project - Genesis,4
\x6b8707271ab9b2cd2cde5519e48e1f9afb84fe7b,Toxic Skulls Club,4
\x9bf1c84609d9431efcafcc6c9774f96a155d2144,Anonymice,4
\xdd26eb772c44d6bc5fea937785d960bcdc55e967,Antebellum Genesis Land,4
\x4dba22c61b8818c94de797680840d25b1e2623b4,CryptoZunks,4
\x9d1d3b7914ca72a70f1fc96aa3b9d985c51ea4f4,Coalition Crew 2.0,4
\xddd8d0e38e922486f0b0ed8b92e263b8e1a73407,tiny dinos (eth),4
\x1e1206b50ed7314c6e57629143a5a7f23e6d362f,Everai Heroes: Duo,4
\xe0028f4b2a9ff1e825c872d5e871ab4250dbebc4,Otherdeed for Otherside,4
\x2a2d9ad5f6929f664c403ecc4ec45132fb9cb94e,FLUF,4
\xa0c98dbff8744d913c3efc680cb465bc26358074,Okay Bears Yacht Club,4
\xe3013b1d58b257684ed9862dbeef81d863e2e0f3,KILLABEARS,4
\x4f8fb0b91f2016747be388549c0de8eb721e1e0f,VeeCon  Tickets,4
\x4f8fb0b91f2016747be388549c0de8eb721e1e0f,VeeFriends Series 2,4
\xa2a633241988c5b40b2c9daa9c606b5792bbcbe0,Crypto Cannabis Club,4
\xa337b81153e20d84c513f692455ef0a9de9a48a3,Ape Reunion,4
\x01d2d664936d623ae4f312c7b7cef8a8530c53dd,Ethereum Name Service (ENS),4
\x715cc980013fa23f198a42afbd9a479fcffb464e,Cryptowalkers,4
\xa5d8aeb899fe01ad04c52cbe523d786666f0e74a,Fat Ape Club,4
\x0f8f336246d730c09ffbbbe1e70034264c7d51c8,Otherdeed for Otherside,4
\x51afd5e954c5220537796aeb0c475699de47ea49,OogaVerse,4
\x7364ab75e6576d29c5c289665f7a671b62f62f48,Murakami.Flowers Official,4
\x2c4c61ee76e5a7c0c9d5415fbc877747fb454853,DentedFeelsNFT,4
\x3d75cd0a773c33415e666c06ece1f871e40d5257,Gutter Clones,4
\x76170446c3a84b7146d5d7ccd58e820d8bbba275,Alien Secret Society,4
\x3d96e6dd529461748a85eaa2876a50d2b9008109,DourDarcels,4
\xaab95c9db365baf0247e489d9f79fb87248f9f23,Meebits,4
\x2ce993a361af4621a9eae8372c2c9a6eee5c2cd6,Stoner Ape Club,4
\x532ec37834e5262a2125fdcb2f214f72a8ae295f,BBRC - IVY BOYS,4
\x00fd60cf5c97933ea176dbf8f52df44d08c592f8,BEANZ Official,4
\x7a06903bd25bdcf492e709a49fe7f953c4ad814a,ALPACADABRAZ 3D,4
\xf271fca7f2896c43db0251676c5bfc61e6e51042,CyberBrokers,4
\x17227aebcbbbd74b3df23aef57c7bcd567463719,CryptoZunks,4
\x551d690502d799da8a299db362fbe5f0fa1c3e54,Feral File — Unsupervised,4
\x3ea4463d6bdeadaa4ae6c2236b2b0fee4bc469ed,The Doggies (Snoop Dogg),4
\x2df1460844d4b724e3af94a3a34d07cd426629aa,Gutter Clones,4
\xf447e6818fe4daa3f048373c3011bce14a23f5d7,Ape Reunion,4
\x7aa0f246992c1cf625c1030d76a3cd5c00e7726f,VeeFriends Series 2,4
\xf50d410b2420c1f1ea03eddcb5032cf2c2b9e377,Meta-Legends,4
\x00fd60cf5c97933ea176dbf8f52df44d08c592f8,Zero Name Service,4
\xaf8233e5a0c7c9bd81deea2faa4c92682e711d4e,Ape Reunion,4
\xafd3ba70830b9ab782d668eb4c091598a9ee8f13,Otherdeed for Otherside,4
\xb040e65ff0a14269d96bb26988fb6af4e9298d9e,VeeFriends Series 2,4
\x2eee62f7501a9b4fd0ef6bbdaa27e6444f3a81d4,Ethereum Name Service (ENS),4
\x7e02b5ae4f577c9ef19da313ce7e20ea6f621c1e,HOWLERZ,4
